word0,frequency1,word2,frequency3,word4,frequency5,word6,frequency7,word8,frequency9,word10,frequency11,word12,frequency13,word14,frequency15,word16,frequency17,word18,frequency19,word20,frequency21,word22,frequency23,word24,frequency25,word26,frequency27,word28,frequency29,word30,frequency31,word32,frequency33,word34,frequency35,word36,frequency37,word38,frequency39,word40,frequency41,word42,frequency43
house,2042931,h no,1,ward no,1,flat no,1,plot no,1,room no,1,door no,1,qtr no,1,apartment no,1,duplex no,1,coop soc,1,housing society,1,main road,1,street no,1,nagar,6342181,road behind,1,road before,1,near by street,1,next to,1,opposte to,1,front of,1,after,1397
flat,1551458,house no,1,ward.no,1,flat.no,1,plot on,1,r no,1,dr no,1,quarter no,1,apt no,1,dupelx no,1,coop housing,1,hsg society,1,road near,1,st no,1,nagr,11413,nagar behind,1,street before,1,near by road,1,nxt to,1,opposite to,1,infront of,1,aftc,178
plot,1446581,h.no,1,w no,1,f.no,1,plt no,1,rm no,1,d no,1,qrt no,1,aprt no,1,dupex no,1,co operative,1,society near,1,road no,1,strret no,1,nagra,4949,behind,358664,nagar before,1,colony near by,1,next,54409,opp to,1,frnt of,1,aft,90
ward,1037270,housing no,1,w no,1,flat,1551458,plotno,15455,room n,1,do no,1,quarter no,1,apart no,1,duplx no,1,coop society,1,society nr,1,raod no,1,street,2195484,ngr,179017,behin,2222,before,1818,near colony,1,nxt,5559,oppo to,1,infrnt of,1,aftab,650
room,431453,hno,807710,ward,1037270,flatno,15191,plotn,355,rom no,1,dr on,1,qr no,1,aprtment no,1,duplex,14205,coop hsg,1,society opp,1,rd no,1,stree,16997,naga,62752,behaind,1025,befor,91,near road,1,nextto,199,oppsite to,1,front,31080,craft,3036
apartment,297592,houseno,4028,wno,22184,fno,11696,plotoon,12,room,431453,do no,1,qtr no,1,aparment no,1,dup,302,coop hsg society,1,society,489193,road,6296514,str,13555,nagaur,51033,behand,673,bef,66,near by,1,nxtto,1,oppt to,1,infront,22295,daftary,1903
door,183250,houses,3707,wardno,5156,flatn,208,plot,1446581,rno,6099,doo no,1,qtr,83069,aptt no,1,duple,64,coop hsg soc,1,socity,10710,rd,682603,stre,8358,nagara,39299,behing,548,befw,10,road near,1,netaji,29211,opp,891555,fron,292,crafts,768
mig,67645,hno7,3593,ward1,511,flato,41,null,null,roomno,2804,door,183250,quarter,41865,apartment,297592,dupl,24,coop,16316,societ,4875,raod,32343,stret,4699,nagari,30137,roadbehind,468,kumbefal,80,street near,1,nethaji,18056,opposite,129947,infron,207,handicraft,739
quarter,41865,hno10,3063,ward2,462,null,null,null,null,ron,2442,dno,160688,q no,1,apt,179443,dupex,22,cooperative,7506,societe,1551,mainroad,10803,strt,4437,nagri,18073,nagarbehind,548,befikri,23,colony near,1,network,8748,oppo,5848,frnt,200,aircraft,574
duplex,14205,hno11,3050,ward3,439,null,null,null,null,roo,1730,doorn,42,quater,13689,aprt,9300,duplx,22,coophsg,604,socitey,1162,roads,7871,stno,4391,nagaram,11346,beh,3498,befree,23,nagar near,1,networks,6661,oppsite,3104,infrontof,153,handicrafts,477
null,null,hno9,2933,ward4,307,null,null,null,null,rmo,1055,doono,38,qno,11597,aptt,7767,duplexno,12,cooprative,391,hsgsociety,657,roadnear,3801,steet,3260,engr,6387,behid,500,befina,15,nagarnear,4419,net,4412,oppt,871,froot,120,daftari,368
null,null,hno12,2807,ward11,224,null,null,null,null,rom,859,dooro,33,qrt,3684,apartmen,3692,dupelx,10,coophsgsociety,389,sociaty,631,mgroad,2976,strret,2785,nagal,5902,behi,1433,befit,11,roadnear,3801,planet,3855,oppto,709,frontside,114,daftar,294
null,null,hno16,2162,ward5,220,null,null,null,null,rmno,781,doorno,4667,qrno,3147,aprtment,2293,dupo,9,coophsgsoc,317,societynear,526,roadways,2903,streeet,1641,nagarnr,1401,behala,12830,abef,10,colonynear,1683,internet,3454,shopping,28080,frontof,112,kraft,292
null,null,hnob,1838,ward12,208,null,null,null,null,rmm,590,drno,3581,qtrno,2056,apar,2232,dupen,6,cooperage,257,societies,339,broadway,2875,streetno,879,karimnagar,104125,behera,8243,befna,7,near,3796591,intelenet,2814,koppal,14989,nfront,83,craftsman,215
null,null,hno13,1794,ward10,206,null,null,null,null,roon,580,dron,227,quter,1299,apra,2142,null,null,coopsoc,191,societynr,297,miraroad,2235,streer,874,gandhinagar,86068,coochbehar,7580,befo,6,nearby,2946,navneet,2564,thoppu,8176,infrnt,82,landcraft,197
null,null,hno18,1714,ward7,200,null,null,null,null,romm,342,dorr,222,qn,1254,apartme,2024,null,null,cooperativ,172,societyopp,291,svroad,1993,sti,795,ahmednagar,83650,behar,7431,globeflex,6,neaar,273,vineet,2171,koppa,7670,frot,75,technocraft,144
null,null,hno17,1579,ward14,189,null,null,null,null,rono,242,drn,171,qut,930,apartm,1849,null,null,cooperate,157,housingsociety,214,gtroad,1960,strial,638,jamnagar,73394,behrampur,5630,befind,5,neaer,249,neta,1996,thoppil,4269,frontier,1602,wildcraft,107
null,null,hno15,1474,ward13,182,null,null,null,null,rmn,136,doro,81,qrtr,880,aparment,1724,null,null,coopsociety,157,societyb,191,roadno,1909,stno2,582,srinagar,72188,behror,4814,null,null,enear,164,nettoor,1770,opposit,3840,saffron,1444,haft,87
null,null,hno14,1457,ward8,174,null,null,null,null,roomn,79,dnn,54,qua,842,apatment,796,null,null,coopertive,83,societys,169,roadpin,1901,stno1,554,kangra,70125,behari,3265,null,null,nea,17932,nettayam,1622,shoppers,3296,frontline,561,autocraft,86
null,null,hno19,1371,ward6,163,null,null,null,null,rnn,49,droo,29,quatar,688,apat,707,null,null,coophsgsocltd,83,coopsociety,157,jagiroad,1785,ston,539,bhavnagar,66173,behram,3046,null,null,anear,368,puneet,1261,koppalu,2774,waterfront,283,safty,78
null,null,houseing,1269,ward15,134,null,null,null,null,roono,39,dorno,28,qurter,671,apmt,656,null,null,coope,81,socieyt,117,dehuroad,1766,st2,498,sangrur,57501,behta,2250,null,null,streetnear,670,garnet,1209,choppadandi,1758,lakefront,265,daftriwala,72
null,null,hno20,1169,ward9,131,null,null,null,null,roomo,27,dooroo,28,quarte,558,aptmt,656,null,null,coopp,67,societybehind,117,broad,1518,ste,490,ganganagar,55928,behat,1865,null,null,neat,1146,sakhinetipalli,1153,koppam,1714,safron,183,draft,70
null,null,housewife,1109,woo,116,null,null,null,null,romo,18,dorn,17,quart,516,aptara,573,null,null,cooperat,65,opsociety,105,rdc,1497,stno3,478,ramnagar,52131,behrampura,1814,null,null,neae,789,netra,1077,copper,1696,frt,67,intercraft,68
null,null,housingh,1077,ward17,100,null,null,null,null,romno,13,donn,11,qutr,426,aprtmnt,571,null,null,cooperati,65,societi,96,ringroad,1415,steert,470,nagaon,48915,bijbehara,1149,null,null,purnea,17950,neeta,1054,thoppumpady,1519,payfront,66,maftiyapara,59
null,null,hno22,974,ward18,99,null,null,null,null,romon,13,doroo,10,quar,399,apartement,565,null,null,coopera,52,societysector,94,roadopp,1408,still,449,vizianagaram,48204,behra,938,null,null,1near,1135,signet,909,roadopp,1408,frnds,60,mindcraft,56
null,null,housin,971,ward16,98,null,null,null,null,rooo,6,doron,9,quartar,322,apm,560,null,null,cooparative,51,society2,89,roadnr,1355,streetna,433,mahabubnagar,36852,rashbehari,920,null,null,nonear,1004,netivali,894,thoppur,1405,frondoso,50,dafter,54
null,null,hno23,964,ward19,81,null,null,null,null,ronn,6,dorono,8,qutar,286,apana,552,null,null,coophsoc,50,socicty,80,roadnew,1304,stno4,360,jayanagar,35538,behal,879,null,null,maharashtranear,945,thanethane,893,thoppampatti,1206,ifront,44,shaft,52
